x,activation
-2.642821410705352747e+01,-8.399999999999999689e-01
-2.639819909954977462e+01,-8.399999999999999689e-01
-2.636818409204602176e+01,-8.399999999999999689e-01
-2.633816908454227246e+01,-8.399999999999999689e-01
-2.630815407703851960e+01,-8.399999999999999689e-01
-2.627813906953476675e+01,-8.399999999999999689e-01
-2.624812406203101389e+01,-8.399999999999999689e-01
-2.621810905452726459e+01,-8.399999999999999689e-01
-2.618809404702351173e+01,-8.399999999999999689e-01
-2.615807903951975888e+01,-8.399999999999999689e-01
-2.612806403201600602e+01,-8.399999999999999689e-01
-2.609804902451225672e+01,-8.399999999999999689e-01
-2.606803401700850387e+01,-8.399999999999999689e-01
-2.603801900950475101e+01,-8.399999999999999689e-01
-2.600800400200100171e+01,-8.399999999999999689e-01
-2.597798899449724885e+01,-8.399999999999999689e-01
-2.594797398699349600e+01,-8.399999999999999689e-01
-2.591795897948974670e+01,-8.399999999999999689e-01
-2.588794397198599384e+01,-8.399999999999999689e-01
-2.585792896448224099e+01,-8.399999999999999689e-01
-2.582791395697848813e+01,-8.399999999999999689e-01
-2.579789894947473528e+01,-8.399999999999999689e-01
-2.576788394197098597e+01,-8.399999999999999689e-01
-2.573786893446723312e+01,-8.399999999999999689e-01
-2.570785392696348026e+01,-8.399999999999999689e-01
-2.567783891945973096e+01,-8.399999999999999689e-01
-2.564782391195597810e+01,-8.399999999999999689e-01
-2.561780890445222525e+01,-8.399999999999999689e-01
-2.558779389694847595e+01,-8.399999999999999689e-01
-2.555777888944472309e+01,-8.398947144805278819e-01
-2.552776388194097024e+01,-8.393560643335364890e-01
-2.549774887443721738e+01,-8.383639399608479037e-01
-2.546773386693346453e+01,-8.369539518617754581e-01
-2.543771885942971522e+01,-8.351512011713618788e-01
-2.540770385192596237e+01,-8.329807890246491153e-01
-2.537768884442220951e+01,-8.304678165566798942e-01
-2.534767383691846021e+01,-8.276373849024968310e-01
-2.531765882941470736e+01,-8.245145951971417642e-01
-2.528764382191095450e+01,-8.211245485756574203e-01
-2.525762881440720520e+01,-8.174923461730865260e-01
-2.522761380690345234e+01,-8.136430891244706975e-01
-2.519759879939969949e+01,-8.095997085300637996e-01
-2.516758379189594663e+01,-8.053883855169590156e-01
-2.513756878439219378e+01,-8.010366854660200264e-01
-2.510755377688844447e+01,-7.965697095122901139e-01
-2.507753876938469162e+01,-7.920125587908105613e-01
-2.504752376188093876e+01,-7.873903344366240953e-01
-2.501750875437718946e+01,-7.827281375847741085e-01
-2.498749374687343661e+01,-7.780510693703014402e-01
-2.495747873936968375e+01,-7.733842309282491501e-01
-2.492746373186593445e+01,-7.687527233936602977e-01
-2.489744872436218159e+01,-7.641816479015766106e-01
-2.486743371685842874e+01,-7.596986529794579335e-01
-2.483741870935467588e+01,-7.553279516470563504e-01
-2.480740370185092658e+01,-7.510943599653711056e-01
-2.477738869434717373e+01,-7.470229790694435934e-01
-2.474737368684342087e+01,-7.431389100943166515e-01
-2.471735867933966802e+01,-7.394672541750326733e-01
-2.468734367183591871e+01,-7.360331124466344965e-01
-2.465732866433216586e+01,-7.328615860441636265e-01
-2.462731365682841300e+01,-7.299777761026631229e-01
-2.459729864932466370e+01,-7.274067837571756012e-01
-2.456728364182091084e+01,-7.251759715474176415e-01
-2.453726863431715799e+01,-7.233162170126159474e-01
-2.450725362681340869e+01,-7.218459576820375201e-01
-2.447723861930965583e+01,-7.207902946907244202e-01
-2.444722361180590298e+01,-7.201743291737192632e-01
-2.441720860430215012e+01,-7.199999999999999734e-01
-2.438719359679839727e+01,-7.199999999999999734e-01
-2.435717858929464796e+01,-7.199999999999999734e-01
-2.432716358179089511e+01,-7.199999999999999734e-01
-2.429714857428714225e+01,-7.199999999999999734e-01
-2.426713356678339295e+01,-7.199999999999999734e-01
